 井名 顶深 沉积微相
0 H38-61 1642.5 1
1 H38-61 1647.9 1
2 H38-61 1653.1 1
3 H38-61 1655.4 1
4 H38-61 1661.4 2
5 H38-61 1662.3 1
6 H38-61 1665.6 1
7 H38-61 1666.8 2
8 H38-61 1669.6 1
9 H38-61 1673.6 2
10 H38-61 1673.6 2
4984 H38-61 1647.7 1
4985 H38-61 1652.9 1
4986 H38-61 1655.2 1
4987 H38-61 1661.2 1
4988 H38-61 1662.1 2
4989 H38-61 1665.4 1
4990 H38-61 1666.6 1
4991 H38-61 1669.4 2
4992 H38-61 1673.4 1
4993 H38-61 1673.4 2
4994 H38-61 1681.8 2
